id,x,y
503,6315.0,1584.0
504,6586.0,1584.0
505,6561.0,1584.0
506,6440.0,1584.0
507,6614.0,1584.0
508,6614.0,1584.0
509,6587.0,1584.0
510,6614.0,1584.0
511,6736.0,1584.0
512,6614.0,1583.0
513,6387.0,1583.0
514,6563.0,1583.0
515,6525.0,1582.0
516,6388.0,1582.0
517,6611.0,1581.0
518,6819.0,1580.0
519,6691.0,1580.0
520,6613.0,1580.0
521,6610.0,1579.0
522,6578.0,1578.0
523,6735.0,1577.0
524,6537.0,1577.0
525,6778.0,1577.0
526,6742.0,1576.0
527,6767.0,1576.0
528,6534.0,1575.0
529,6764.0,1575.0
530,6791.0,1575.0
531,6536.0,1575.0
532,6776.0,1574.0
533,6418.0,1573.0
534,6735.0,1572.0
535,6753.0,1571.0
536,6368.0,1571.0
537,6552.0,1571.0
538,6750.0,1571.0
539,6558.0,1571.0
540,6775.0,1571.0
541,6710.0,1571.0
542,6567.0,1570.0
543,6753.0,1570.0
544,6549.0,1570.0
545,6564.0,1570.0
546,6713.0,1570.0
547,6750.0,1570.0
548,6759.0,1570.0
549,6753.0,1570.0
550,6712.0,1569.0
551,6712.0,1569.0
552,6742.0,1569.0
553,6735.0,1569.0
554,6548.0,1569.0
555,6664.0,1569.0
556,6656.0,1568.0
557,6735.0,1568.0
558,6686.0,1568.0
559,6701.0,1568.0
560,6706.0,1568.0
561,6671.0,1568.0
562,6547.0,1567.0
563,6464.0,1567.0
564,6701.0,1567.0
565,6650.0,1567.0
566,6650.0,1567.0
567,6668.0,1567.0
568,6713.0,1567.0
569,6713.0,1567.0
570,6592.0,1567.0
571,6718.0,1567.0
572,6673.0,1566.0
573,6593.0,1566.0
574,6684.0,1566.0
575,6662.0,1566.0
576,6650.0,1566.0
577,6664.0,1565.0
578,6584.0,1565.0
579,6657.0,1565.0
580,6584.0,1565.0
581,6727.0,1565.0
582,6732.0,1565.0
583,6718.0,1565.0
584,6566.0,1565.0
585,6565.0,1565.0
586,6718.0,1564.0
587,6716.0,1564.0
588,6701.0,1564.0
589,6546.0,1564.0
590,6418.0,1564.0
591,6623.0,1563.0
592,6705.0,1563.0
593,6357.0,1563.0
594,6574.0,1562.0
595,6619.0,1562.0
596,6618.0,1562.0
597,6580.0,1561.0
598,6564.0,1561.0
599,6615.0,1561.0
600,6562.0,1561.0
601,6610.0,1560.0
602,6345.0,1560.0
603,6658.0,1560.0
604,6574.0,1560.0
605,6618.0,1559.0
606,6613.0,1559.0
607,6725.0,1559.0
608,6570.0,1559.0
609,6570.0,1559.0
610,6597.0,1558.0
611,6594.0,1558.0
612,6596.0,1558.0
613,6596.0,1558.0
614,6570.0,1558.0
615,6575.0,1558.0
616,6616.0,1558.0
617,6598.0,1558.0
618,6576.0,1558.0
619,6610.0,1558.0
620,6598.0,1558.0
621,6603.0,1558.0
622,6594.0,1558.0
623,6315.0,1557.0
624,6613.0,1557.0
625,6311.0,1556.0
626,6824.0,1556.0
627,6582.0,1555.0
628,6566.0,1555.0
629,6360.0,1554.0
630,6768.0,1554.0
631,6393.0,1554.0
632,6562.0,1554.0
